city,area,profession,professionName,experience,education,wageStart,wageEnd,companyName,companyType,companySize,industry,tags,welfare,url,submitTime
北京,海淀区,前端工程师,前端开发工程师 h5/vue,3-5年,本科,13,17,沐融科技,C轮,500-2000人,科技金融,HTML5; React,“五险一金 交补 话补 笔记本补贴”,https://www.lagou.com/jobs/7618407.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,海淀区,前端工程师,Web前端工程师 (MJ000147),3-5年,本科,20,30,小冰,A轮,150-500人,人工智能服务,人工智能服务,“弹性工作制；五险一金、补充商业保险、餐补等”,https://www.lagou.com/jobs/8591340.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,西北旺,前端工程师,高级前端工程师,3-5年,本科,14,28,小嘿科技,B轮,15-50人,工具类产品,工具类产品; 移动端; HTML5; Javascript,“五险一金、定期团建、出国旅游。”,https://www.lagou.com/jobs/4502461.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,丰台区,前端工程师,web前端工程师,1-3年,大专,8,12,合力亿捷,上市公司,500-2000人,软件服务、咨询,移动端; CSS; 前端开发,“补充商保、发展前景、节日福利、定期体检等”,https://www.lagou.com/jobs/8293912.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,大兴区,前端工程师,前端开发,3-5年,不限,11,20,法本信息,上市公司,2000人以上,人工智能服务、IT技术服务、咨询,VUE,“朝九晚六、周末双休”,https://www.lagou.com/jobs/8608802.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,望京,前端工程师,web前端开发工程师,1-3年,本科,12,16,桔子数科,B轮,500-2000人,电商平台、科技金融,电商平台; 科技金融,“扁平管理、绩效奖金、带薪年假、生日福利、”,https://www.lagou.com/jobs/8744924.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,西北旺,前端工程师,前端开发经理,3-5年,不限,20,30,墨云科技,B轮,150-500人,人工智能服务,股票期权;     弹性工作;     五险一金;     午餐交通补助,“股票期权、弹性工作”,https://www.lagou.com/jobs/6579813.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,西北旺,前端工程师,web前端开发工程师,3-5年,本科,15,20,用友,上市公司,500-2000人,移动互联网、数据服务,软件服务、咨询; IT技术服务、咨询; Vue; React,“团队氛围优、项目挑战性强、个人提升快。”,https://www.lagou.com/jobs/8834898.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,西红门,前端工程师,wed前端实习岗位,1年以下,本科,4,8,融智天软件,C轮,50-150人,IT技术服务、咨询,IT技术服务、咨询; Web前端; Vue; React; Angular,“开发奖金”,https://www.lagou.com/jobs/8797250.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,海运仓,前端工程师,web前端开发工程师,1-3年,本科,15,20,everbridge,上市公司,500-2000人,软件服务、咨询,软件服务、咨询; React native; HTML; CSS,“上市外企、弹性工作制、六险一金、美国交流”,https://www.lagou.com/jobs/5882916.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
